Therapist_Action,AWARENESS_SHIFT,COMPLIANCE,CONFUSION,RESISTANCE,TRANCE_DEEPENING
CONFUSION,0.12834224598930483,0.11764705882352941,0.5561497326203209,0.19786096256684493,0.0
DOUBLE_BIND,0.20238095238095238,0.21031746031746032,0.42063492063492064,0.07142857142857142,0.09523809523809523
OTHER,0.19739776951672863,0.41821561338289964,0.09814126394052045,0.19405204460966544,0.09219330855018587
PACING,0.10395314787701318,0.6910688140556369,0.05856515373352855,0.04538799414348463,0.10102489019033675
REFRAMING,0.40519877675840976,0.20336391437308868,0.1437308868501529,0.13761467889908258,0.11009174311926606
SUGGESTION,0.04780876494023904,0.4203187250996016,0.055776892430278883,0.20318725099601595,0.2729083665338645
TRUISM,0.12525667351129363,0.6160164271047228,0.06365503080082136,0.06570841889117043,0.1293634496919918
UTILIZATION,0.21514629948364888,0.38812392426850256,0.10413080895008606,0.09552495697074011,0.19707401032702238
