Client_Reaction,CONFUSION,DOUBLE_BIND,OTHER,PACING,REFRAMING,SUGGESTION,TRUISM,UTILIZATION
AWARENESS_SHIFT,0.02662490211433046,0.037588097102584185,0.39937353171495693,0.10101801096319499,0.11981205951448708,0.0696945967110415,0.06421299921691465,0.1816758026624902
COMPLIANCE,0.027466570292735814,0.03830863751355258,0.41055294542826165,0.10372244307914709,0.09107336465486086,0.08276111311890133,0.07842428623057462,0.16769063968196604
CONFUSION,0.03680203045685279,0.04949238578680203,0.39213197969543145,0.1116751269035533,0.10025380710659898,0.06852791878172589,0.06979695431472081,0.1713197969543147
RESISTANCE,0.03711558854718982,0.031813361611876985,0.4093319194061506,0.09968186638388123,0.10180275715800637,0.06680805938494168,0.07635206786850478,0.17709437963944857
TRANCE_DEEPENING,0.015439429928741092,0.03681710213776722,0.4168646080760095,0.0997624703087886,0.08669833729216152,0.07957244655581948,0.07244655581947744,0.19239904988123516
